step,start_epoch,end_epoch,duration_seconds,status
INTERIM_HEALTH_CHECK,1767338125,1767338138,13,Succeeded
FINAL_HEALTH_CHECK,1767338505,1767338517,12,Succeeded
INITIALIZE,1767337891,1767337900,9,Succeeded
NODE_SIMULATION,1767337964,1767338115,151,Succeeded
RACK_SIMULATION,1767338148,1767338495,347,Succeeded
HEALTH_CHECK_1,1767337911,1767337949,38,Succeeded
HEALTH_CHECK_3,1767337911,1767337952,41,Succeeded
HEALTH_CHECK_2,1767337911,1767337940,29,Succeeded
FINAL_HEALTH_CHECK,1767338527,1767338536,9,Succeeded
