step,start_epoch,end_epoch,duration_seconds,status
FINAL_HEALTH_CHECK,1767379667,1767379695,28,Succeeded
INITIALIZE,1767378953,1767378963,10,Succeeded
HEALTH_CHECK_1,1767378974,1767379044,70,Succeeded
HEALTH_CHECK_3,1767378973,1767379044,71,Succeeded
HEALTH_CHECK_2,1767378973,1767379044,71,Succeeded
NODE_SIMULATION,1767379064,1767379244,180,Succeeded
INTERIM_HEALTH_CHECK,1767379254,1767379279,25,Succeeded
RACK_SIMULATION,1767379287,1767379657,370,Succeeded
FINAL_HEALTH_CHECK,1767379704,1767379733,29,Succeeded
