step,start_epoch,end_epoch,duration_seconds,status
HEALTH_CHECK_1,1767252940,1767252960,20,Succeeded
RACK_SIMULATION,1767253165,1767253512,347,Succeeded
FINAL_HEALTH_CHECK,1767253522,1767253532,10,Succeeded
INTERIM_HEALTH_CHECK,1767253142,1767253155,13,Succeeded
FINAL_HEALTH_CHECK,1767253542,1767253549,7,Succeeded
NODE_SIMULATION,1767252980,1767253132,152,Succeeded
INITIALIZE,1767252919,1767252930,11,Succeeded
HEALTH_CHECK_3,1767252940,1767252967,27,Succeeded
HEALTH_CHECK_2,1767252940,1767252963,23,Succeeded
