step,start_epoch,end_epoch,duration_seconds,status
NODE_SIMULATION,1767405967,1767406193,226,Succeeded
INTERIM_HEALTH_CHECK,1767406213,1767406265,52,Succeeded
INITIALIZE,1767405834,1767405848,14,Succeeded
FINAL_HEALTH_CHECK,1767406677,1767406717,40,Succeeded
RACK_SIMULATION,1767406274,1767406667,393,Succeeded
FINAL_HEALTH_CHECK,1767406726,1767406747,21,Succeeded
HEALTH_CHECK_2,1767405854,1767405935,81,Succeeded
HEALTH_CHECK_3,1767405854,1767405935,81,Succeeded
HEALTH_CHECK_1,1767405854,1767405935,81,Succeeded
