step,start_epoch,end_epoch,duration_seconds,status
RACK_SIMULATION,1767350819,1767351166,347,Succeeded
INITIALIZE,1767350567,1767350575,8,Succeeded
FINAL_HEALTH_CHECK,1767351176,1767351193,17,Succeeded
FINAL_HEALTH_CHECK,1767351198,1767351207,9,Succeeded
HEALTH_CHECK_3,1767350577,1767350622,45,Succeeded
HEALTH_CHECK_2,1767350577,1767350611,34,Succeeded
HEALTH_CHECK_1,1767350577,1767350622,45,Succeeded
INTERIM_HEALTH_CHECK,1767350788,1767350807,19,Succeeded
NODE_SIMULATION,1767350626,1767350779,153,Succeeded
