step,start_epoch,end_epoch,duration_seconds,status
HEALTH_CHECK_1,1767358474,1767358515,41,Succeeded
HEALTH_CHECK_2,1767358474,1767358516,42,Succeeded
HEALTH_CHECK_3,1767358474,1767358516,42,Succeeded
FINAL_HEALTH_CHECK,1767359113,1767359121,8,Succeeded
RACK_SIMULATION,1767358733,1767359083,350,Succeeded
INTERIM_HEALTH_CHECK,1767358713,1767358725,12,Succeeded
NODE_SIMULATION,1767358537,1767358703,166,Succeeded
INITIALIZE,1767358454,1767358462,8,Succeeded
FINAL_HEALTH_CHECK,1767359093,1767359105,12,Succeeded
