step,start_epoch,end_epoch,duration_seconds,status
HEALTH_CHECK_1,1767349891,1767349915,24,Succeeded
HEALTH_CHECK_2,1767349891,1767349935,44,Succeeded
HEALTH_CHECK_3,1767349891,1767349934,43,Succeeded
FINAL_HEALTH_CHECK,1767350491,1767350502,11,Succeeded
INTERIM_HEALTH_CHECK,1767350109,1767350124,15,Succeeded
INITIALIZE,1767349870,1767349881,11,Succeeded
RACK_SIMULATION,1767350130,1767350481,351,Succeeded
NODE_SIMULATION,1767349944,1767350099,155,Succeeded
FINAL_HEALTH_CHECK,1767350512,1767350523,11,Succeeded
