step,start_epoch,end_epoch,duration_seconds,status
HEALTH_CHECK_2,1767354108,1767354147,39,Succeeded
HEALTH_CHECK_3,1767354108,1767354133,25,Succeeded
FINAL_HEALTH_CHECK,1767354727,1767354737,10,Succeeded
HEALTH_CHECK_1,1767354108,1767354145,37,Succeeded
FINAL_HEALTH_CHECK,1767354707,1767354720,13,Succeeded
RACK_SIMULATION,1767354347,1767354697,350,Succeeded
INTERIM_HEALTH_CHECK,1767354323,1767354337,14,Succeeded
NODE_SIMULATION,1767354153,1767354313,160,Succeeded
INITIALIZE,1767354088,1767354098,10,Succeeded
