step,start_epoch,end_epoch,duration_seconds,status
INTERIM_HEALTH_CHECK,1767359430,1767359441,11,Succeeded
HEALTH_CHECK_1,1767359200,1767359237,37,Succeeded
HEALTH_CHECK_3,1767359200,1767359237,37,Succeeded
HEALTH_CHECK_2,1767359200,1767359237,37,Succeeded
RACK_SIMULATION,1767359450,1767359800,350,Succeeded
NODE_SIMULATION,1767359257,1767359420,163,Succeeded
INITIALIZE,1767359179,1767359188,9,Succeeded
FINAL_HEALTH_CHECK,1767359810,1767359822,12,Succeeded
FINAL_HEALTH_CHECK,1767359832,1767359839,7,Succeeded
