step,start_epoch,end_epoch,duration_seconds,status
INTERIM_HEALTH_CHECK,1767342277,1767342294,17,Succeeded
INITIALIZE,1767342045,1767342056,11,Succeeded
FINAL_HEALTH_CHECK,1767342659,1767342670,11,Succeeded
FINAL_HEALTH_CHECK,1767342680,1767342688,8,Succeeded
HEALTH_CHECK_1,1767342066,1767342108,42,Succeeded
HEALTH_CHECK_2,1767342066,1767342101,35,Succeeded
HEALTH_CHECK_3,1767342066,1767342108,42,Succeeded
RACK_SIMULATION,1767342297,1767342649,352,Succeeded
NODE_SIMULATION,1767342111,1767342267,156,Succeeded
