step,start_epoch,end_epoch,duration_seconds,status
INITIALIZE,1767378141,1767378151,10,Succeeded
FINAL_HEALTH_CHECK,1767378892,1767378906,14,Succeeded
HEALTH_CHECK_1,1767378161,1767378240,79,Succeeded
HEALTH_CHECK_3,1767378161,1767378240,79,Succeeded
HEALTH_CHECK_2,1767378161,1767378240,79,Succeeded
RACK_SIMULATION,1767378480,1767378851,371,Succeeded
FINAL_HEALTH_CHECK,1767378861,1767378881,20,Succeeded
INTERIM_HEALTH_CHECK,1767378441,1767378470,29,Succeeded
NODE_SIMULATION,1767378261,1767378431,170,Succeeded
