step,start_epoch,end_epoch,duration_seconds,status
HEALTH_CHECK_2,1767324975,1767325014,39,Succeeded
HEALTH_CHECK_3,1767324975,1767325005,30,Succeeded
HEALTH_CHECK_1,1767324975,1767325005,30,Succeeded
RACK_SIMULATION,1767325215,1767325564,349,Succeeded
NODE_SIMULATION,1767325026,1767325173,147,Succeeded
INTERIM_HEALTH_CHECK,1767325183,1767325202,19,Succeeded
INITIALIZE,1767324955,1767324963,8,Succeeded
FINAL_HEALTH_CHECK,1767325604,1767325615,11,Succeeded
FINAL_HEALTH_CHECK,1767325574,1767325592,18,Succeeded
