step,start_epoch,end_epoch,duration_seconds,status
INITIALIZE,1767252256,1767252263,7,Succeeded
FINAL_HEALTH_CHECK,1767252853,1767252865,12,Succeeded
HEALTH_CHECK_3,1767252277,1767252309,32,Succeeded
HEALTH_CHECK_2,1767252277,1767252303,26,Succeeded
HEALTH_CHECK_1,1767252277,1767252304,27,Succeeded
NODE_SIMULATION,1767252314,1767252464,150,Succeeded
FINAL_HEALTH_CHECK,1767252873,1767252880,7,Succeeded
RACK_SIMULATION,1767252494,1767252843,349,Succeeded
INTERIM_HEALTH_CHECK,1767252474,1767252485,11,Succeeded
