step,start_epoch,end_epoch,duration_seconds,status
INTERIM_HEALTH_CHECK,1767356528,1767356541,13,Succeeded
INITIALIZE,1767356285,1767356296,11,Succeeded
NODE_SIMULATION,1767356363,1767356518,155,Succeeded
HEALTH_CHECK_3,1767356306,1767356343,37,Succeeded
HEALTH_CHECK_2,1767356306,1767356342,36,Succeeded
HEALTH_CHECK_1,1767356306,1767356334,28,Succeeded
RACK_SIMULATION,1767356551,1767356901,350,Succeeded
FINAL_HEALTH_CHECK,1767356931,1767356938,7,Succeeded
FINAL_HEALTH_CHECK,1767356911,1767356923,12,Succeeded
