step,start_epoch,end_epoch,duration_seconds,status
HEALTH_CHECK_2,1767365068,1767365109,41,Succeeded
HEALTH_CHECK_3,1767365068,1767365109,41,Succeeded
HEALTH_CHECK_1,1767365068,1767365108,40,Succeeded
NODE_SIMULATION,1767365131,1767365301,170,Succeeded
FINAL_HEALTH_CHECK,1767365719,1767365729,10,Succeeded
FINAL_HEALTH_CHECK,1767365692,1767365709,17,Succeeded
RACK_SIMULATION,1767365331,1767365682,351,Succeeded
INTERIM_HEALTH_CHECK,1767365311,1767365327,16,Succeeded
INITIALIZE,1767365048,1767365058,10,Succeeded
