step,start_epoch,end_epoch,duration_seconds,status
FINAL_HEALTH_CHECK,1767351876,1767351888,12,Succeeded
FINAL_HEALTH_CHECK,1767351898,1767351911,13,Succeeded
INTERIM_HEALTH_CHECK,1767351497,1767351509,12,Succeeded
RACK_SIMULATION,1767351518,1767351866,348,Succeeded
HEALTH_CHECK_3,1767351269,1767351305,36,Succeeded
HEALTH_CHECK_2,1767351269,1767351317,48,Succeeded
HEALTH_CHECK_1,1767351269,1767351317,48,Succeeded
INITIALIZE,1767351259,1767351266,7,Succeeded
NODE_SIMULATION,1767351330,1767351487,157,Succeeded
