step,start_epoch,end_epoch,duration_seconds,status
INITIALIZE,1767344813,1767344823,10,Succeeded
RACK_SIMULATION,1767345072,1767345420,348,Succeeded
HEALTH_CHECK_1,1767344833,1767344867,34,Succeeded
HEALTH_CHECK_2,1767344833,1767344861,28,Succeeded
HEALTH_CHECK_3,1767344834,1767344858,24,Succeeded
INTERIM_HEALTH_CHECK,1767345049,1767345067,18,Succeeded
FINAL_HEALTH_CHECK,1767345430,1767345442,12,Succeeded
NODE_SIMULATION,1767344879,1767345039,160,Succeeded
FINAL_HEALTH_CHECK,1767345452,1767345461,9,Succeeded
