Platform,Total_Runs,Successful,Failed,Success_Rate_%,Min_s,Max_s,Mean_s,Median_s,StdDev_s,P95_s,P99_s
Argo_Scaled,20,20,0,100.0,901,1022,939.6,932.0,37.9,994.45,1016.49
NativeK8s_Scaled,20,20,0,100.0,665,698,668.7,666.0,9.7,696.1,697.62
GitHubActions_Scaled,40,40,0,100.0,507,601,551.1,548.5,27.58,597.2,600.24
Argo_Scaled_HEFT,20,20,0,100.0,871,1715,1065.9,977.0,250.14,1696.0,1711.2
NativeK8s_Scaled_HEFT,20,20,0,100.0,665,668,666.15,666.0,0.81,668.0,668.0
GitHubActions_Scaled_HEFT,40,40,0,100.0,504,636,561.55,553.0,31.83,619.85,632.77
