step,start_epoch,end_epoch,duration_seconds,status
FINAL_HEALTH_CHECK,1767374134,1767374155,21,Succeeded
INTERIM_HEALTH_CHECK,1767373728,1767373753,25,Succeeded
HEALTH_CHECK_3,1767373465,1767373518,53,Succeeded
HEALTH_CHECK_2,1767373465,1767373518,53,Succeeded
HEALTH_CHECK_1,1767373465,1767373518,53,Succeeded
FINAL_HEALTH_CHECK,1767374166,1767374178,12,Succeeded
NODE_SIMULATION,1767373539,1767373718,179,Succeeded
INITIALIZE,1767373444,1767373454,10,Succeeded
RACK_SIMULATION,1767373763,1767374124,361,Succeeded
