step,start_epoch,end_epoch,duration_seconds,status
RACK_SIMULATION,1767332655,1767333005,350,Succeeded
FINAL_HEALTH_CHECK,1767333015,1767333028,13,Succeeded
NODE_SIMULATION,1767332476,1767332625,149,Succeeded
HEALTH_CHECK_2,1767332436,1767332459,23,Succeeded
HEALTH_CHECK_3,1767332436,1767332465,29,Succeeded
HEALTH_CHECK_1,1767332436,1767332451,15,Succeeded
FINAL_HEALTH_CHECK,1767333038,1767333048,10,Succeeded
INTERIM_HEALTH_CHECK,1767332635,1767332648,13,Succeeded
INITIALIZE,1767332416,1767332425,9,Succeeded
