step,start_epoch,end_epoch,duration_seconds,status
FINAL_HEALTH_CHECK,1767398570,1767398589,19,Succeeded
INITIALIZE,1767397644,1767397661,17,Succeeded
HEALTH_CHECK_1,1767397666,1767397734,68,Succeeded
HEALTH_CHECK_3,1767397666,1767397734,68,Succeeded
HEALTH_CHECK_2,1767397666,1767397734,68,Succeeded
NODE_SIMULATION,1767397766,1767397970,204,Succeeded
RACK_SIMULATION,1767398067,1767398492,425,Succeeded
INTERIM_HEALTH_CHECK,1767397989,1767398048,59,Succeeded
FINAL_HEALTH_CHECK,1767398512,1767398562,50,Succeeded
