step,start_epoch,end_epoch,duration_seconds,status
INTERIM_HEALTH_CHECK,1767336004,1767336015,11,Succeeded
NODE_SIMULATION,1767335846,1767335994,148,Succeeded
RACK_SIMULATION,1767336025,1767336373,348,Succeeded
FINAL_HEALTH_CHECK,1767336403,1767336413,10,Succeeded
INITIALIZE,1767335785,1767335794,9,Succeeded
HEALTH_CHECK_1,1767335806,1767335831,25,Succeeded
HEALTH_CHECK_3,1767335806,1767335834,28,Succeeded
HEALTH_CHECK_2,1767335806,1767335825,19,Succeeded
FINAL_HEALTH_CHECK,1767336383,1767336393,10,Succeeded
