step,start_epoch,end_epoch,duration_seconds,status
HEALTH_CHECK_3,1767403757,1767403815,58,Succeeded
HEALTH_CHECK_2,1767403757,1767403815,58,Succeeded
HEALTH_CHECK_1,1767403757,1767403816,59,Succeeded
NODE_SIMULATION,1767403848,1767404085,237,Succeeded
RACK_SIMULATION,1767404171,1767404553,382,Succeeded
FINAL_HEALTH_CHECK,1767404648,1767404670,22,Succeeded
INITIALIZE,1767403725,1767403743,18,Succeeded
FINAL_HEALTH_CHECK,1767404576,1767404638,62,Succeeded
INTERIM_HEALTH_CHECK,1767404105,1767404163,58,Succeeded
