step,start_epoch,end_epoch,duration_seconds,status
INTERIM_HEALTH_CHECK,1767333992,1767334005,13,Succeeded
FINAL_HEALTH_CHECK,1767334372,1767334382,10,Succeeded
INITIALIZE,1767333770,1767333781,11,Succeeded
HEALTH_CHECK_3,1767333791,1767333817,26,Succeeded
HEALTH_CHECK_2,1767333791,1767333817,26,Succeeded
HEALTH_CHECK_1,1767333791,1767333809,18,Succeeded
NODE_SIMULATION,1767333832,1767333983,151,Succeeded
RACK_SIMULATION,1767334012,1767334362,350,Succeeded
FINAL_HEALTH_CHECK,1767334392,1767334399,7,Succeeded
