step,start_epoch,end_epoch,duration_seconds,status
INITIALIZE,1767362067,1767362076,9,Succeeded
INTERIM_HEALTH_CHECK,1767362327,1767362341,14,Succeeded
FINAL_HEALTH_CHECK,1767362706,1767362722,16,Succeeded
RACK_SIMULATION,1767362348,1767362698,350,Succeeded
NODE_SIMULATION,1767362152,1767362317,165,Succeeded
HEALTH_CHECK_1,1767362087,1767362125,38,Succeeded
HEALTH_CHECK_3,1767362087,1767362125,38,Succeeded
HEALTH_CHECK_2,1767362087,1767362125,38,Succeeded
FINAL_HEALTH_CHECK,1767362727,1767362738,11,Succeeded
