step,start_epoch,end_epoch,duration_seconds,status
INTERIM_HEALTH_CHECK,1767390386,1767390418,32,Succeeded
INITIALIZE,1767390035,1767390051,16,Succeeded
NODE_SIMULATION,1767390157,1767390366,209,Succeeded
FINAL_HEALTH_CHECK,1767390929,1767390957,28,Succeeded
HEALTH_CHECK_2,1767390055,1767390132,77,Succeeded
HEALTH_CHECK_3,1767390055,1767390131,76,Succeeded
HEALTH_CHECK_1,1767390055,1767390131,76,Succeeded
RACK_SIMULATION,1767390428,1767390840,412,Succeeded
FINAL_HEALTH_CHECK,1767390850,1767390909,59,Succeeded
