step,start_epoch,end_epoch,duration_seconds,status
INTERIM_HEALTH_CHECK,1767361612,1767361625,13,Succeeded
FINAL_HEALTH_CHECK,1767361993,1767362005,12,Succeeded
RACK_SIMULATION,1767361632,1767361983,351,Succeeded
FINAL_HEALTH_CHECK,1767362013,1767362021,8,Succeeded
HEALTH_CHECK_1,1767361365,1767361410,45,Succeeded
HEALTH_CHECK_2,1767361365,1767361410,45,Succeeded
HEALTH_CHECK_3,1767361365,1767361409,44,Succeeded
NODE_SIMULATION,1767361429,1767361602,173,Succeeded
INITIALIZE,1767361344,1767361354,10,Succeeded
