step,start_epoch,end_epoch,duration_seconds,status
NODE_SIMULATION,1767404855,1767405128,273,Succeeded
HEALTH_CHECK_1,1767404753,1767404831,78,Succeeded
HEALTH_CHECK_3,1767404753,1767404831,78,Succeeded
HEALTH_CHECK_2,1767404753,1767404831,78,Succeeded
INTERIM_HEALTH_CHECK,1767405148,1767405217,69,Succeeded
RACK_SIMULATION,1767405226,1767405611,385,Succeeded
FINAL_HEALTH_CHECK,1767405631,1767405703,72,Succeeded
FINAL_HEALTH_CHECK,1767405712,1767405786,74,Succeeded
INITIALIZE,1767404719,1767404742,23,Succeeded
