step,start_epoch,end_epoch,duration_seconds,status
FINAL_HEALTH_CHECK,1767333717,1767333726,9,Succeeded
RACK_SIMULATION,1767333338,1767333685,347,Succeeded
INITIALIZE,1767333109,1767333118,9,Succeeded
NODE_SIMULATION,1767333159,1767333308,149,Succeeded
FINAL_HEALTH_CHECK,1767333695,1767333707,12,Succeeded
HEALTH_CHECK_3,1767333129,1767333155,26,Succeeded
HEALTH_CHECK_2,1767333129,1767333151,22,Succeeded
HEALTH_CHECK_1,1767333129,1767333146,17,Succeeded
INTERIM_HEALTH_CHECK,1767333318,1767333332,14,Succeeded
