step,start_epoch,end_epoch,duration_seconds,status
RACK_SIMULATION,1767337420,1767337769,349,Succeeded
NODE_SIMULATION,1767337232,1767337380,148,Succeeded
INTERIM_HEALTH_CHECK,1767337390,1767337413,23,Succeeded
FINAL_HEALTH_CHECK,1767337779,1767337803,24,Succeeded
HEALTH_CHECK_2,1767337189,1767337226,37,Succeeded
HEALTH_CHECK_3,1767337189,1767337215,26,Succeeded
HEALTH_CHECK_1,1767337189,1767337226,37,Succeeded
INITIALIZE,1767337169,1767337176,7,Succeeded
FINAL_HEALTH_CHECK,1767337810,1767337819,9,Succeeded
