step,start_epoch,end_epoch,duration_seconds,status
RACK_SIMULATION,1767334682,1767335030,348,Succeeded
FINAL_HEALTH_CHECK,1767335061,1767335069,8,Succeeded
FINAL_HEALTH_CHECK,1767335040,1767335051,11,Succeeded
INITIALIZE,1767334462,1767334470,8,Succeeded
HEALTH_CHECK_1,1767334472,1767334488,16,Succeeded
HEALTH_CHECK_3,1767334472,1767334494,22,Succeeded
HEALTH_CHECK_2,1767334472,1767334497,25,Succeeded
NODE_SIMULATION,1767334502,1767334650,148,Succeeded
INTERIM_HEALTH_CHECK,1767334660,1767334672,12,Succeeded
