step,start_epoch,end_epoch,duration_seconds,status
INITIALIZE,1767459385,1767459411,26,success
HEALTH_CHECK_1,1767459413,1767459450,37,success
HEALTH_CHECK_2,1767459483,1767459512,29,success
HEALTH_CHECK_3,1767459453,1767459480,27,success
NODE_SIMULATION,1767459515,1767459677,162,success
INTERIM_HEALTH_CHECK,1767459680,1767459708,28,success
RACK_SIMULATION,1767459711,1767460073,362,success
FINAL_HEALTH_CHECK,1767460076,1767460101,25,success
FINAL_HEALTH_CHECK,1767460104,1767460124,20,success
