step,start_epoch,end_epoch,duration_seconds,status
HEALTH_CHECK_1,1767383554,1767383639,85,Succeeded
HEALTH_CHECK_3,1767383554,1767383639,85,Succeeded
NODE_SIMULATION,1767383665,1767383893,228,Succeeded
INITIALIZE,1767383530,1767383546,16,Succeeded
HEALTH_CHECK_2,1767383554,1767383639,85,Succeeded
RACK_SIMULATION,1767383970,1767384349,379,Succeeded
FINAL_HEALTH_CHECK,1767384417,1767384480,63,Succeeded
INTERIM_HEALTH_CHECK,1767383903,1767383950,47,Succeeded
FINAL_HEALTH_CHECK,1767384359,1767384397,38,Succeeded
