step,start_epoch,end_epoch,duration_seconds,status
RACK_SIMULATION,1767338827,1767339174,347,Succeeded
FINAL_HEALTH_CHECK,1767339184,1767339197,13,Succeeded
HEALTH_CHECK_2,1767338604,1767338635,31,Succeeded
HEALTH_CHECK_3,1767338604,1767338632,28,Succeeded
HEALTH_CHECK_1,1767338604,1767338627,23,Succeeded
NODE_SIMULATION,1767338647,1767338795,148,Succeeded
FINAL_HEALTH_CHECK,1767339207,1767339216,9,Succeeded
INITIALIZE,1767338583,1767338594,11,Succeeded
INTERIM_HEALTH_CHECK,1767338805,1767338817,12,Succeeded
